section_id, instructor_id, day, time, room
105,ادارة مشاريع البرمجيات,علي,M,1300,1430
131,تطوير الويب,محمود,T,1100,1230
155,مشروع تخرج I ,فارس,MW,2000,2050
156,مشروع تخرج I ,وليد,MW,2100,2150
181,تفاعل الانسان و الحاسب,مشاري,MW,1100,1220
282,مبادئ هندسة البرمجيات,فارس,T,1500,1630
341,مبادئ هندسة البرمجيات,عبيد,U,1600,1730
5,مبادئ هندسة البرمجيات,مشاري,UTR,1000,1050
16,مبادئ هندسة البرمجيات,احمد,UTR,1100,1150
130,تطوير الويب,زيد,UTR,900,950
135,اختبار وتدقيق البرمجيات,عمر,W,1100,1230
147,جودة ومقاييس البرمجيات,علي,U,1500,1630
281,مبادئ هندسة البرمجيات,محمد,UTR,1300,1350
101,هندسة متطلبات البرمجيات,محمود,R,1300,1430
6,مبادئ هندسة البرمجيات,فارس,R,1100,1230
112,هندسة متطلبات البرمجيات,عمر,U,1300,1430
124,نماذج عمليات البرمجيات,علي,MW,1430,1550
125,نماذج عمليات البرمجيات,عبدالله,W,1100,1230
330,مبادئ هندسة البرمجيات,محمد,U,1600,1730
28,مبادئ هندسة البرمجيات,محمد,R,1100,1230
143,اختبار وتدقيق البرمجيات,برقان,MW,1100,1220
146,جودة ومقاييس البرمجيات,عمر,UTR,1300,1350
158,مشروع تخرج 2,محمود,UTR,1900,1950
319,مبادئ هندسة البرمجيات,حسنين,U,1600,1730
100,هندسة متطلبات البرمجيات,احمد,MW,800,920
115,ادارة مشاريع البرمجيات,محمد,MW,800,920
140,تطوير الويب,زيد,T,800,930
182,تفاعل الانسان و الحاسب,وليد,M,800,930
142,بناء البرمجيات,احمد,M,800,930
318,مبادئ هندسة البرمجيات,وليد,UTR,1400,1450
17,مبادئ هندسة البرمجيات,محمد,R,1300,1430
102,تفاعل الانسان مع الحاسب,حسنين,MW,930,1050
103,تفاعل الانسان مع الحاسب,معاذ,M,1300,1430
113,تفاعل الانسان مع الحاسب,معاذ,MW,1100,1220
116,ادارة مشاريع البرمجيات,معاذ,M,1300,1430
123,تصميم وهيكلة البرمجيات,حسن,M,1100,1230
126,برمجة الاجهزة المحمولة,احمد,MW,1600,1720
127,برمجة الاجهزة المحمولة,فراس,R,1100,1230
139,تطوير الويب,معاذ,UTR,1100,1150
144,اختبار وتدقيق البرمجيات,احمد,W,800,930
150,تجربة المستخدم,معاذ,MW,1430,1550
151,تجربة المستخدم,حسن,M,1600,1730
111,هندسة متطلبات البرمجيات,فيصل,MW,930,1050
132,بناء البرمجيات,عبدالله,MW,800,920
133,بناء البرمجيات,معاذ,M,1100,1230
153,مشروع تخرج I ,حسن,MW,1800,1850
154,مشروع تخرج I ,عبدالله,MW,1900,1950
157,مشروع تخرج 2,عبيد,UTR,1800,1850
162,اساسيات إنترنت الأشياء,فارس,UTR,1000,1050
163,اساسيات إنترنت الأشياء,عمر,T,800,930
39,مبادئ هندسة البرمجيات,عبدالله,R,1300,1430
188,اساسيات إنترنت الأشياء,زيد,UTR,1400,1450
189,اساسيات إنترنت الأشياء,فارس,T,1500,1630
27,مبادئ هندسة البرمجيات,برقان,UTR,1000,1050
38,مبادئ هندسة البرمجيات,عبدالله,UTR,1100,1150
104,ادارة مشاريع البرمجيات,فارس,MW,1100,1220
114,تفاعل الانسان مع الحاسب,عبيد,M,1300,1430
134,اختبار وتدقيق البرمجيات,فارس,MW,930,1050
149,نماذج تصميم البرمجيات,مشاري,T,1500,1630
159,مشروع تخرج 2,محمد,UTR,2000,2050
160,مشروع تخرج 2,احمد,MW,1900,2020
161,مشروع تخرج 2,احمد,UTR,2100,2150
329,مبادئ هندسة البرمجيات,عبيد,UTR,1500,1550
340,مبادئ هندسة البرمجيات,مؤيد,UTR,1300,1350
122,تصميم وهيكلة البرمجيات,زيد,MW,1300,1420
141,بناء البرمجيات,عبيد,MW,1300,1420
148,نماذج تصميم البرمجيات,زيد,UTR,1400,1450
