section_id, instructor_id, day, time, room
153,مشروع تخرج I ,عبيد,MW,1800,1850
127,برمجة الاجهزة المحمولة,احمد,R,1100,1230
39,مبادئ هندسة البرمجيات,فراس,R,1300,1430
125,نماذج عمليات البرمجيات,باسل,W,1100,1230
6,مبادئ هندسة البرمجيات,وليد,R,1100,1230
112,هندسة متطلبات البرمجيات,عبيد,U,1300,1430
28,مبادئ هندسة البرمجيات,فارس,R,1100,1230
126,برمجة الاجهزة المحمولة,فارس,MW,1600,1720
38,مبادئ هندسة البرمجيات,مشاري,UTR,1100,1150
154,مشروع تخرج I ,وليد,MW,1900,1950
105,ادارة مشاريع البرمجيات,عبيد,M,1300,1430
182,تفاعل الانسان و الحاسب,حسن,M,800,930
158,مشروع تخرج 2,محمد,UTR,1900,1950
103,تفاعل الانسان مع الحاسب,معاذ,M,1300,1430
340,مبادئ هندسة البرمجيات,عبيد,UTR,1300,1350
17,مبادئ هندسة البرمجيات,باسل,R,1300,1430
144,اختبار وتدقيق البرمجيات,محمد,W,800,930
161,مشروع تخرج 2,عمر,UTR,2100,2150
5,مبادئ هندسة البرمجيات,عبيد,UTR,1000,1050
163,اساسيات إنترنت الأشياء,مؤيد,T,800,930
282,مبادئ هندسة البرمجيات,وليد,T,1500,1630
135,اختبار وتدقيق البرمجيات,علي,W,1100,1230
115,ادارة مشاريع البرمجيات,ياسر,MW,800,920
150,تجربة المستخدم,مشاري,MW,1430,1550
329,مبادئ هندسة البرمجيات,علي,UTR,1500,1550
131,تطوير الويب,وليد,T,1100,1230
319,مبادئ هندسة البرمجيات,محمود,U,1600,1730
116,ادارة مشاريع البرمجيات,محمد,M,1300,1430
27,مبادئ هندسة البرمجيات,حسن,UTR,1000,1050
341,مبادئ هندسة البرمجيات,علي,U,1600,1730
100,هندسة متطلبات البرمجيات,احمد,MW,800,920
189,اساسيات إنترنت الأشياء,وليد,T,1500,1630
160,مشروع تخرج 2,علي,MW,1900,2020
147,جودة ومقاييس البرمجيات,حسنين,U,1500,1630
151,تجربة المستخدم,فيصل,M,1600,1730
133,بناء البرمجيات,عبدالله,M,1100,1230
142,بناء البرمجيات,برقان,M,800,930
157,مشروع تخرج 2,احمد,UTR,1800,1850
140,تطوير الويب,حسنين,T,800,930
123,تصميم وهيكلة البرمجيات,عبيد,M,1100,1230
141,بناء البرمجيات,عبيد,MW,1300,1420
143,اختبار وتدقيق البرمجيات,برقان,MW,1100,1220
124,نماذج عمليات البرمجيات,باسل,MW,1430,1550
114,تفاعل الانسان مع الحاسب,برقان,M,1300,1430
132,بناء البرمجيات,زيد,MW,800,920
122,تصميم وهيكلة البرمجيات,علي,MW,1300,1420
16,مبادئ هندسة البرمجيات,عبيد,UTR,1100,1150
159,مشروع تخرج 2,عبدالله,UTR,2000,2050
149,نماذج تصميم البرمجيات,وليد,T,1500,1630
101,هندسة متطلبات البرمجيات,مشاري,R,1300,1430
139,تطوير الويب,برقان,UTR,1100,1150
134,اختبار وتدقيق البرمجيات,باسل,MW,930,1050
281,مبادئ هندسة البرمجيات,فراس,UTR,1300,1350
156,مشروع تخرج I ,وليد,MW,2100,2150
130,تطوير الويب,عبدالله,UTR,900,950
146,جودة ومقاييس البرمجيات,عبيد,UTR,1300,1350
188,اساسيات إنترنت الأشياء,باسل,UTR,1400,1450
155,مشروع تخرج I ,وليد,MW,2000,2050
162,اساسيات إنترنت الأشياء,معاذ,UTR,1000,1050
104,ادارة مشاريع البرمجيات,علي,MW,1100,1220
330,مبادئ هندسة البرمجيات,علي,U,1600,1730
318,مبادئ هندسة البرمجيات,احمد,UTR,1400,1450
113,تفاعل الانسان مع الحاسب,محمود,MW,1100,1220
148,نماذج تصميم البرمجيات,احمد,UTR,1400,1450
181,تفاعل الانسان و الحاسب,حسن,MW,1100,1220
102,تفاعل الانسان مع الحاسب,وليد,MW,930,1050
111,هندسة متطلبات البرمجيات,مشاري,MW,930,1050
