section_id, instructor_id, day, time, room
135,اختبار وتدقيق البرمجيات,محمود,W,1100,1230
182,تفاعل الانسان و الحاسب,فيصل,M,800,930
329,مبادئ هندسة البرمجيات,حسن,UTR,1500,1550
157,مشروع تخرج 2,فيصل,UTR,1800,1850
140,تطوير الويب,زيد,T,800,930
151,تجربة المستخدم,فيصل,M,1600,1730
141,بناء البرمجيات,معاذ,MW,1300,1420
155,مشروع تخرج I ,ياسر,MW,2000,2050
188,اساسيات إنترنت الأشياء,عبيد,UTR,1400,1450
330,مبادئ هندسة البرمجيات,فارس,U,1600,1730
341,مبادئ هندسة البرمجيات,محمود,U,1600,1730
115,ادارة مشاريع البرمجيات,احمد,MW,800,920
153,مشروع تخرج I ,علي,MW,1800,1850
131,تطوير الويب,فيصل,T,1100,1230
6,مبادئ هندسة البرمجيات,محمود,R,1100,1230
111,هندسة متطلبات البرمجيات,محمد,MW,930,1050
38,مبادئ هندسة البرمجيات,زيد,UTR,1100,1150
105,ادارة مشاريع البرمجيات,فارس,M,1300,1430
116,ادارة مشاريع البرمجيات,معاذ,M,1300,1430
144,اختبار وتدقيق البرمجيات,فيصل,W,800,930
154,مشروع تخرج I ,محمود,MW,1900,1950
125,نماذج عمليات البرمجيات,حسنين,W,1100,1230
139,تطوير الويب,زيد,UTR,1100,1150
319,مبادئ هندسة البرمجيات,محمود,U,1600,1730
142,بناء البرمجيات,فيصل,M,800,930
112,هندسة متطلبات البرمجيات,فيصل,U,1300,1430
147,جودة ومقاييس البرمجيات,برقان,U,1500,1630
123,تصميم وهيكلة البرمجيات,معاذ,M,1100,1230
148,نماذج تصميم البرمجيات,ياسر,UTR,1400,1450
114,تفاعل الانسان مع الحاسب,محمد,M,1300,1430
149,نماذج تصميم البرمجيات,زيد,T,1500,1630
163,اساسيات إنترنت الأشياء,ياسر,T,800,930
134,اختبار وتدقيق البرمجيات,احمد,MW,930,1050
162,اساسيات إنترنت الأشياء,برقان,UTR,1000,1050
160,مشروع تخرج 2,محمد,MW,1900,2020
132,بناء البرمجيات,فارس,MW,800,920
282,مبادئ هندسة البرمجيات,فيصل,T,1500,1630
113,تفاعل الانسان مع الحاسب,فراس,MW,1100,1220
101,هندسة متطلبات البرمجيات,فارس,R,1300,1430
17,مبادئ هندسة البرمجيات,فيصل,R,1300,1430
181,تفاعل الانسان و الحاسب,مؤيد,MW,1100,1220
28,مبادئ هندسة البرمجيات,محمود,R,1100,1230
133,بناء البرمجيات,حسن,M,1100,1230
122,تصميم وهيكلة البرمجيات,معاذ,MW,1300,1420
127,برمجة الاجهزة المحمولة,وليد,R,1100,1230
318,مبادئ هندسة البرمجيات,وليد,UTR,1400,1450
103,تفاعل الانسان مع الحاسب,فراس,M,1300,1430
16,مبادئ هندسة البرمجيات,حسن,UTR,1100,1150
143,اختبار وتدقيق البرمجيات,وليد,MW,1100,1220
126,برمجة الاجهزة المحمولة,عبيد,MW,1600,1720
146,جودة ومقاييس البرمجيات,باسل,UTR,1300,1350
189,اساسيات إنترنت الأشياء,محمود,T,1500,1630
156,مشروع تخرج I ,احمد,MW,2100,2150
39,مبادئ هندسة البرمجيات,فراس,R,1300,1430
102,تفاعل الانسان مع الحاسب,فيصل,MW,930,1050
158,مشروع تخرج 2,برقان,UTR,1900,1950
161,مشروع تخرج 2,برقان,UTR,2100,2150
159,مشروع تخرج 2,عبدالله,UTR,2000,2050
100,هندسة متطلبات البرمجيات,فارس,MW,800,920
130,تطوير الويب,مشاري,UTR,900,950
340,مبادئ هندسة البرمجيات,حسن,UTR,1300,1350
124,نماذج عمليات البرمجيات,علي,MW,1430,1550
281,مبادئ هندسة البرمجيات,عمر,UTR,1300,1350
150,تجربة المستخدم,باسل,MW,1430,1550
104,ادارة مشاريع البرمجيات,عبيد,MW,1100,1220
27,مبادئ هندسة البرمجيات,مؤيد,UTR,1000,1050
5,مبادئ هندسة البرمجيات,فراس,UTR,1000,1050
