section_id, instructor_id, day, time, room
6,مبادئ هندسة البرمجيات,احمد,R,1100,1230
330,مبادئ هندسة البرمجيات,حسنين,U,1600,1730
151,تجربة المستخدم,احمد,M,1600,1730
28,مبادئ هندسة البرمجيات,علي,R,1100,1230
130,تطوير الويب,احمد,UTR,900,950
16,مبادئ هندسة البرمجيات,مؤيد,UTR,1100,1150
131,تطوير الويب,مؤيد,T,1100,1230
149,نماذج تصميم البرمجيات,معاذ,T,1500,1630
157,مشروع تخرج 2,محمود,UTR,1800,1850
141,بناء البرمجيات,باسل,MW,1300,1420
103,تفاعل الانسان مع الحاسب,مؤيد,M,1300,1430
159,مشروع تخرج 2,حسن,UTR,2000,2050
160,مشروع تخرج 2,باسل,MW,1900,2020
101,هندسة متطلبات البرمجيات,مؤيد,R,1300,1430
181,تفاعل الانسان و الحاسب,عبيد,MW,1100,1220
146,جودة ومقاييس البرمجيات,حسن,UTR,1300,1350
148,نماذج تصميم البرمجيات,محمود,UTR,1400,1450
153,مشروع تخرج I ,ياسر,MW,1800,1850
155,مشروع تخرج I ,محمود,MW,2000,2050
133,بناء البرمجيات,مؤيد,M,1100,1230
105,ادارة مشاريع البرمجيات,معاذ,M,1300,1430
163,اساسيات إنترنت الأشياء,باسل,T,800,930
156,مشروع تخرج I ,احمد,MW,2100,2150
154,مشروع تخرج I ,حسنين,MW,1900,1950
125,نماذج عمليات البرمجيات,عبدالله,W,1100,1230
158,مشروع تخرج 2,فراس,UTR,1900,1950
5,مبادئ هندسة البرمجيات,معاذ,UTR,1000,1050
126,برمجة الاجهزة المحمولة,باسل,MW,1600,1720
188,اساسيات إنترنت الأشياء,محمود,UTR,1400,1450
112,هندسة متطلبات البرمجيات,فراس,U,1300,1430
161,مشروع تخرج 2,محمود,UTR,2100,2150
100,هندسة متطلبات البرمجيات,فراس,MW,800,920
281,مبادئ هندسة البرمجيات,محمود,UTR,1300,1350
132,بناء البرمجيات,فراس,MW,800,920
113,تفاعل الانسان مع الحاسب,مؤيد,MW,1100,1220
143,اختبار وتدقيق البرمجيات,محمد,MW,1100,1220
38,مبادئ هندسة البرمجيات,عبدالله,UTR,1100,1150
102,تفاعل الانسان مع الحاسب,معاذ,MW,930,1050
182,تفاعل الانسان و الحاسب,عمر,M,800,930
122,تصميم وهيكلة البرمجيات,عبيد,MW,1300,1420
140,تطوير الويب,برقان,T,800,930
123,تصميم وهيكلة البرمجيات,عبدالله,M,1100,1230
116,ادارة مشاريع البرمجيات,معاذ,M,1300,1430
189,اساسيات إنترنت الأشياء,فيصل,T,1500,1630
150,تجربة المستخدم,حسن,MW,1430,1550
341,مبادئ هندسة البرمجيات,عمر,U,1600,1730
147,جودة ومقاييس البرمجيات,عبيد,U,1500,1630
114,تفاعل الانسان مع الحاسب,علي,M,1300,1430
135,اختبار وتدقيق البرمجيات,وليد,W,1100,1230
142,بناء البرمجيات,مؤيد,M,800,930
124,نماذج عمليات البرمجيات,باسل,MW,1430,1550
329,مبادئ هندسة البرمجيات,مشاري,UTR,1500,1550
318,مبادئ هندسة البرمجيات,عمر,UTR,1400,1450
144,اختبار وتدقيق البرمجيات,معاذ,W,800,930
282,مبادئ هندسة البرمجيات,مؤيد,T,1500,1630
319,مبادئ هندسة البرمجيات,حسنين,U,1600,1730
162,اساسيات إنترنت الأشياء,باسل,UTR,1000,1050
17,مبادئ هندسة البرمجيات,زيد,R,1300,1430
134,اختبار وتدقيق البرمجيات,وليد,MW,930,1050
115,ادارة مشاريع البرمجيات,علي,MW,800,920
127,برمجة الاجهزة المحمولة,فارس,R,1100,1230
111,هندسة متطلبات البرمجيات,باسل,MW,930,1050
340,مبادئ هندسة البرمجيات,فارس,UTR,1300,1350
39,مبادئ هندسة البرمجيات,عمر,R,1300,1430
139,تطوير الويب,وليد,UTR,1100,1150
27,مبادئ هندسة البرمجيات,مشاري,UTR,1000,1050
104,ادارة مشاريع البرمجيات,فراس,MW,1100,1220
