section_id, instructor_id, day, time, room
150,تجربة المستخدم,فارس,MW,1430,1550
156,مشروع تخرج I ,برقان,MW,2100,2150
341,مبادئ هندسة البرمجيات,زيد,U,1600,1730
160,مشروع تخرج 2,حسنين,MW,1900,2020
149,نماذج تصميم البرمجيات,ياسر,T,1500,1630
102,تفاعل الانسان مع الحاسب,محمد,MW,930,1050
157,مشروع تخرج 2,حسنين,UTR,1800,1850
27,مبادئ هندسة البرمجيات,علي,UTR,1000,1050
189,اساسيات إنترنت الأشياء,علي,T,1500,1630
130,تطوير الويب,برقان,UTR,900,950
105,ادارة مشاريع البرمجيات,مشاري,M,1300,1430
39,مبادئ هندسة البرمجيات,احمد,R,1300,1430
148,نماذج تصميم البرمجيات,فراس,UTR,1400,1450
126,برمجة الاجهزة المحمولة,فارس,MW,1600,1720
141,بناء البرمجيات,فيصل,MW,1300,1420
113,تفاعل الانسان مع الحاسب,عمر,MW,1100,1220
5,مبادئ هندسة البرمجيات,حسن,UTR,1000,1050
151,تجربة المستخدم,معاذ,M,1600,1730
142,بناء البرمجيات,احمد,M,800,930
6,مبادئ هندسة البرمجيات,مؤيد,R,1100,1230
112,هندسة متطلبات البرمجيات,عبدالله,U,1300,1430
340,مبادئ هندسة البرمجيات,برقان,UTR,1300,1350
131,تطوير الويب,عمر,T,1100,1230
133,بناء البرمجيات,حسنين,M,1100,1230
161,مشروع تخرج 2,عمر,UTR,2100,2150
123,تصميم وهيكلة البرمجيات,محمود,M,1100,1230
330,مبادئ هندسة البرمجيات,عبدالله,U,1600,1730
115,ادارة مشاريع البرمجيات,عبدالله,MW,800,920
163,اساسيات إنترنت الأشياء,زيد,T,800,930
144,اختبار وتدقيق البرمجيات,مشاري,W,800,930
38,مبادئ هندسة البرمجيات,زيد,UTR,1100,1150
147,جودة ومقاييس البرمجيات,فارس,U,1500,1630
159,مشروع تخرج 2,مؤيد,UTR,2000,2050
282,مبادئ هندسة البرمجيات,عمر,T,1500,1630
140,تطوير الويب,زيد,T,800,930
318,مبادئ هندسة البرمجيات,فراس,UTR,1400,1450
122,تصميم وهيكلة البرمجيات,ياسر,MW,1300,1420
16,مبادئ هندسة البرمجيات,برقان,UTR,1100,1150
111,هندسة متطلبات البرمجيات,حسن,MW,930,1050
104,ادارة مشاريع البرمجيات,عمر,MW,1100,1220
153,مشروع تخرج I ,برقان,MW,1800,1850
155,مشروع تخرج I ,معاذ,MW,2000,2050
154,مشروع تخرج I ,مؤيد,MW,1900,1950
103,تفاعل الانسان مع الحاسب,عمر,M,1300,1430
135,اختبار وتدقيق البرمجيات,فراس,W,1100,1230
319,مبادئ هندسة البرمجيات,علي,U,1600,1730
158,مشروع تخرج 2,زيد,UTR,1900,1950
139,تطوير الويب,فراس,UTR,1100,1150
182,تفاعل الانسان و الحاسب,احمد,M,800,930
329,مبادئ هندسة البرمجيات,محمود,UTR,1500,1550
143,اختبار وتدقيق البرمجيات,عبيد,MW,1100,1220
281,مبادئ هندسة البرمجيات,علي,UTR,1300,1350
146,جودة ومقاييس البرمجيات,عبيد,UTR,1300,1350
162,اساسيات إنترنت الأشياء,حسن,UTR,1000,1050
188,اساسيات إنترنت الأشياء,ياسر,UTR,1400,1450
124,نماذج عمليات البرمجيات,مؤيد,MW,1430,1550
181,تفاعل الانسان و الحاسب,برقان,MW,1100,1220
134,اختبار وتدقيق البرمجيات,محمود,MW,930,1050
125,نماذج عمليات البرمجيات,عبدالله,W,1100,1230
116,ادارة مشاريع البرمجيات,عبدالله,M,1300,1430
114,تفاعل الانسان مع الحاسب,احمد,M,1300,1430
132,بناء البرمجيات,مشاري,MW,800,920
100,هندسة متطلبات البرمجيات,مشاري,MW,800,920
17,مبادئ هندسة البرمجيات,باسل,R,1300,1430
101,هندسة متطلبات البرمجيات,فارس,R,1300,1430
28,مبادئ هندسة البرمجيات,محمد,R,1100,1230
127,برمجة الاجهزة المحمولة,عمر,R,1100,1230
